fecha,anio,mes,mes_nombre,estacion,ciudad,temperatura,humedad,precipitacion_mm,viento_kmh,llovio
2024-02-25,2024,2,Feb,Verano,Bariloche,15.0,54.3,0.0,23.0,False
2024-02-26,2024,2,Feb,Verano,Bariloche,11.2,71.0,0.0,16.8,False
2024-02-27,2024,2,Feb,Verano,Bariloche,14.3,75.1,4.4,1.2,True
2024-02-28,2024,2,Feb,Verano,Bariloche,15.8,72.1,2.1,13.3,True
2024-02-29,2024,2,Feb,Verano,Bariloche,12.7,75.2,1.9,11.8,True
2024-03-01,2024,3,Mar,Otonio,Bariloche,8.2,65.5,4.0,6.6,True
2024-03-02,2024,3,Mar,Otonio,Bariloche,14.8,79.2,0.0,15.9,False
2024-03-03,2024,3,Mar,Otonio,Bariloche,14.0,67.3,3.6,24.2,True
2024-03-04,2024,3,Mar,Otonio,Bariloche,12.4,81.2,8.2,8.8,True
2024-03-05,2024,3,Mar,Otonio,Bariloche,15.4,66.1,0.0,8.0,False
2024-03-06,2024,3,Mar,Otonio,Bariloche,15.2,57.1,0.0,11.0,False
2024-03-07,2024,3,Mar,Otonio,Bariloche,15.1,76.7,0.0,7.4,False
2024-03-08,2024,3,Mar,Otonio,Bariloche,13.2,62.7,0.0,22.0,False
2024-03-09,2024,3,Mar,Otonio,Bariloche,13.0,67.4,0.0,19.4,False
2024-03-10,2024,3,Mar,Otonio,Bariloche,17.7,65.8,0.0,18.3,False
2024-03-11,2024,3,Mar,Otonio,Bariloche,10.7,83.3,0.0,18.3,False
2024-03-12,2024,3,Mar,Otonio,Bariloche,9.3,66.2,0.0,16.6,False
2024-03-13,2024,3,Mar,Otonio,Bariloche,10.5,73.6,0.0,8.3,False
2024-03-14,2024,3,Mar,Otonio,Bariloche,11.7,63.2,0.0,19.0,False
2024-03-15,2024,3,Mar,Otonio,Bariloche,12.1,76.6,0.0,24.0,False
2024-03-16,2024,3,Mar,Otonio,Bariloche,13.5,75.4,0.0,24.7,False
2024-03-17,2024,3,Mar,Otonio,Bariloche,14.9,63.5,9.4,17.7,True
2024-03-18,2024,3,Mar,Otonio,Bariloche,9.8,63.2,1.1,18.3,True
2024-03-19,2024,3,Mar,Otonio,Bariloche,15.0,72.3,10.6,12.3,True
2024-03-20,2024,3,Mar,Otonio,Bariloche,7.8,68.1,0.0,17.2,False
2024-03-21,2024,3,Mar,Otonio,Bariloche,10.0,85.2,0.0,10.7,False
2024-03-22,2024,3,Mar,Otonio,Bariloche,10.3,71.7,17.7,14.5,True
2024-03-23,2024,3,Mar,Otonio,Bariloche,15.7,85.7,0.0,4.0,False
2024-03-24,2024,3,Mar,Otonio,Bariloche,14.3,68.7,10.0,18.6,True
2024-03-25,2024,3,Mar,Otonio,Bariloche,12.4,55.3,0.0,14.7,False
2024-03-26,2024,3,Mar,Otonio,Bariloche,12.1,79.8,0.0,21.0,False
2024-03-27,2024,3,Mar,Otonio,Bariloche,13.7,64.7,0.0,21.3,False
2024-03-28,2024,3,Mar,Otonio,Bariloche,15.3,79.8,0.0,6.5,False
2024-03-29,2024,3,Mar,Otonio,Bariloche,9.4,74.4,14.2,15.4,True
2024-03-30,2024,3,Mar,Otonio,Bariloche,12.6,68.9,0.0,8.8,False
2024-03-31,2024,3,Mar,Otonio,Bariloche,10.2,72.9,10.0,6.2,True
2024-04-01,2024,4,Apr,Otonio,Bariloche,9.3,71.0,0.0,12.2,False
2024-04-02,2024,4,Apr,Otonio,Bariloche,11.0,75.3,0.0,14.6,False
2024-04-03,2024,4,Apr,Otonio,Bariloche,8.8,82.3,0.0,4.5,False
2024-04-04,2024,4,Apr,Otonio,Bariloche,9.8,73.2,0.8,22.5,True
2024-04-07,2024,4,Apr,Otonio,Bariloche,9.3,64.0,0.0,16.0,False
2024-04-08,2024,4,Apr,Otonio,Bariloche,12.4,79.9,0.0,14.0,False
2024-04-09,2024,4,Apr,Otonio,Bariloche,12.2,77.4,0.2,16.4,True
2024-04-11,2024,4,Apr,Otonio,Bariloche,9.9,71.2,0.0,18.7,False
2024-04-12,2024,4,Apr,Otonio,Bariloche,7.6,72.4,0.9,21.1,True
2024-04-13,2024,4,Apr,Otonio,Bariloche,14.3,77.1,0.0,6.4,False
2024-04-14,2024,4,Apr,Otonio,Bariloche,9.2,67.2,0.0,9.0,False
2024-04-15,2024,4,Apr,Otonio,Bariloche,6.7,78.7,0.0,15.4,False
2024-04-16,2024,4,Apr,Otonio,Bariloche,10.1,77.8,0.0,10.9,False
2024-04-17,2024,4,Apr,Otonio,Bariloche,13.5,76.9,0.0,8.5,False
2024-04-18,2024,4,Apr,Otonio,Bariloche,10.2,70.3,3.0,7.8,True
2024-04-19,2024,4,Apr,Otonio,Bariloche,11.2,64.6,0.0,23.8,False
2024-04-20,2024,4,Apr,Otonio,Bariloche,3.4,63.0,0.0,10.9,False
2024-04-21,2024,4,Apr,Otonio,Bariloche,7.5,75.9,0.0,14.5,False
2024-04-22,2024,4,Apr,Otonio,Bariloche,7.7,68.6,0.0,16.7,False
2024-04-23,2024,4,Apr,Otonio,Bariloche,5.8,63.4,0.0,3.9,False
2024-04-24,2024,4,Apr,Otonio,Bariloche,3.9,61.9,0.0,26.0,False
2024-04-25,2024,4,Apr,Otonio,Bariloche,5.9,74.2,0.0,17.1,False
2024-04-26,2024,4,Apr,Otonio,Bariloche,7.4,70.2,0.0,3.2,False
2024-04-27,2024,4,Apr,Otonio,Bariloche,10.7,66.3,0.0,11.8,False
2024-04-29,2024,4,Apr,Otonio,Bariloche,9.7,74.9,13.0,20.2,True
2024-04-30,2024,4,Apr,Otonio,Bariloche,5.2,73.9,0.0,12.8,False
2024-05-01,2024,5,May,Otonio,Bariloche,8.6,67.2,0.0,11.4,False
2024-05-02,2024,5,May,Otonio,Bariloche,5.1,74.8,0.0,11.5,False
2024-05-03,2024,5,May,Otonio,Bariloche,9.9,91.7,0.0,11.6,False
2024-05-04,2024,5,May,Otonio,Bariloche,5.4,80.8,0.0,16.6,False
2024-05-05,2024,5,May,Otonio,Bariloche,0.8,79.1,0.0,14.8,False
2024-05-06,2024,5,May,Otonio,Bariloche,9.2,73.1,0.0,10.0,False
2024-05-07,2024,5,May,Otonio,Bariloche,5.2,89.8,0.0,9.0,False
2024-05-08,2024,5,May,Otonio,Bariloche,6.2,69.2,0.0,6.2,False
2024-05-09,2024,5,May,Otonio,Bariloche,6.3,69.1,0.0,13.5,False
2024-05-10,2024,5,May,Otonio,Bariloche,6.4,83.7,0.0,15.5,False
2024-05-11,2024,5,May,Otonio,Bariloche,8.6,77.7,0.0,20.6,False
2024-05-12,2024,5,May,Otonio,Bariloche,2.1,88.2,0.0,27.6,False
2024-05-13,2024,5,May,Otonio,Bariloche,7.3,78.9,0.0,6.3,False
2024-05-14,2024,5,May,Otonio,Bariloche,8.3,76.2,0.0,18.2,False
2024-05-15,2024,5,May,Otonio,Bariloche,2.6,73.6,1.6,9.2,True
2024-05-16,2024,5,May,Otonio,Bariloche,3.9,64.5,4.1,0.0,True
2024-05-17,2024,5,May,Otonio,Bariloche,9.4,83.3,5.6,11.7,True
2024-05-18,2024,5,May,Otonio,Bariloche,8.5,89.9,0.0,17.3,False
2024-05-19,2024,5,May,Otonio,Bariloche,4.8,91.6,23.3,17.6,True
2024-05-20,2024,5,May,Otonio,Bariloche,3.4,81.4,1.5,4.2,True
2024-05-21,2024,5,May,Otonio,Bariloche,4.6,77.4,3.9,14.8,True
2024-05-22,2024,5,May,Otonio,Bariloche,2.5,75.8,8.9,7.3,True
2024-05-23,2024,5,May,Otonio,Bariloche,8.1,53.9,3.3,12.1,True
2024-05-24,2024,5,May,Otonio,Bariloche,4.3,79.2,0.0,8.5,False
2024-05-25,2024,5,May,Otonio,Bariloche,0.4,72.5,12.8,12.7,True
2024-05-26,2024,5,May,Otonio,Bariloche,5.0,90.7,0.0,8.6,False
2024-05-27,2024,5,May,Otonio,Bariloche,0.8,79.3,0.0,11.9,False
2024-05-28,2024,5,May,Otonio,Bariloche,2.5,64.4,0.0,10.4,False
2024-05-29,2024,5,May,Otonio,Bariloche,5.9,71.0,0.0,23.6,False
2024-05-30,2024,5,May,Otonio,Bariloche,4.4,79.3,0.0,15.0,False
2024-05-31,2024,5,May,Otonio,Bariloche,2.5,73.5,0.0,7.6,False
2024-06-01,2024,6,Jun,Invierno,Bariloche,4.3,55.7,0.0,16.4,False
2024-06-02,2024,6,Jun,Invierno,Bariloche,1.3,67.7,23.9,12.3,True
2024-06-03,2024,6,Jun,Invierno,Bariloche,6.1,66.4,0.0,3.0,False
2024-06-04,2024,6,Jun,Invierno,Bariloche,0.6,87.8,0.0,25.1,False
2024-06-05,2024,6,Jun,Invierno,Bariloche,7.5,88.6,10.8,13.7,True
2024-06-06,2024,6,Jun,Invierno,Bariloche,2.4,78.5,9.5,22.7,True
2024-06-07,2024,6,Jun,Invierno,Bariloche,5.7,78.4,0.0,12.4,False
2024-06-08,2024,6,Jun,Invierno,Bariloche,8.0,72.8,0.0,10.3,False
2024-06-09,2024,6,Jun,Invierno,Bariloche,3.3,96.1,0.1,12.5,True
2024-06-10,2024,6,Jun,Invierno,Bariloche,2.4,81.2,5.1,14.7,True
2024-06-11,2024,6,Jun,Invierno,Bariloche,2.9,70.1,0.0,17.5,False
2024-06-12,2024,6,Jun,Invierno,Bariloche,-3.2,75.9,15.8,14.3,True
2024-06-13,2024,6,Jun,Invierno,Bariloche,4.3,77.7,0.0,12.2,False
2024-06-14,2024,6,Jun,Invierno,Bariloche,5.0,78.8,0.0,14.6,False
2024-06-15,2024,6,Jun,Invierno,Bariloche,0.8,70.0,2.3,17.1,True
2024-06-16,2024,6,Jun,Invierno,Bariloche,-2.0,68.0,0.0,25.2,False
2024-06-17,2024,6,Jun,Invierno,Bariloche,2.1,66.1,2.7,21.4,True
2024-06-18,2024,6,Jun,Invierno,Bariloche,1.0,85.0,0.0,17.6,False
2024-06-19,2024,6,Jun,Invierno,Bariloche,1.6,84.5,0.0,21.6,False
2024-06-20,2024,6,Jun,Invierno,Bariloche,4.3,68.7,0.0,20.0,False
2024-06-21,2024,6,Jun,Invierno,Bariloche,1.1,80.2,1.2,14.0,True
2024-06-22,2024,6,Jun,Invierno,Bariloche,4.2,82.8,0.0,18.6,False
2024-06-23,2024,6,Jun,Invierno,Bariloche,-0.1,85.3,0.0,17.4,False
2024-06-24,2024,6,Jun,Invierno,Bariloche,2.0,84.7,0.0,9.8,False
2024-06-25,2024,6,Jun,Invierno,Bariloche,-0.7,74.4,0.0,17.2,False
2024-06-26,2024,6,Jun,Invierno,Bariloche,5.0,76.9,4.5,5.2,True
2024-06-27,2024,6,Jun,Invierno,Bariloche,4.2,82.9,4.2,9.0,True
2024-06-28,2024,6,Jun,Invierno,Bariloche,-0.0,77.7,0.0,14.5,False
2024-06-29,2024,6,Jun,Invierno,Bariloche,2.2,78.9,0.0,5.0,False
2024-06-30,2024,6,Jun,Invierno,Bariloche,-1.3,76.6,2.3,9.6,True
2024-07-01,2024,7,Jul,Invierno,Bariloche,3.4,72.1,0.0,18.7,False
2024-07-02,2024,7,Jul,Invierno,Bariloche,0.3,80.1,9.4,17.3,True
2024-07-03,2024,7,Jul,Invierno,Bariloche,3.2,79.8,5.6,15.0,True
2024-07-04,2024,7,Jul,Invierno,Bariloche,6.0,74.0,0.0,9.6,False
2024-07-05,2024,7,Jul,Invierno,Bariloche,0.8,79.6,0.0,18.4,False
2024-07-06,2024,7,Jul,Invierno,Bariloche,2.4,75.8,0.0,16.0,False
2024-07-07,2024,7,Jul,Invierno,Bariloche,2.0,71.2,0.0,7.1,False
2024-07-08,2024,7,Jul,Invierno,Bariloche,2.9,76.4,10.1,14.4,True
2024-07-09,2024,7,Jul,Invierno,Bariloche,3.7,76.3,0.0,16.0,False
2024-07-10,2024,7,Jul,Invierno,Bariloche,0.3,66.2,0.0,15.3,False
2024-07-11,2024,7,Jul,Invierno,Bariloche,6.5,79.1,0.0,16.3,False
2024-07-12,2024,7,Jul,Invierno,Bariloche,1.8,72.2,0.0,15.9,False
2024-07-13,2024,7,Jul,Invierno,Bariloche,3.7,85.5,0.0,16.2,False
2024-07-14,2024,7,Jul,Invierno,Bariloche,2.3,75.2,0.0,8.4,False
2024-07-15,2024,7,Jul,Invierno,Bariloche,3.3,88.6,2.3,13.2,True
2024-07-16,2024,7,Jul,Invierno,Bariloche,1.7,72.8,0.1,15.4,True
2024-07-17,2024,7,Jul,Invierno,Bariloche,1.9,77.3,0.0,17.5,False
2024-07-18,2024,7,Jul,Invierno,Bariloche,-1.7,55.2,0.0,19.7,False
2024-07-19,2024,7,Jul,Invierno,Bariloche,-0.4,95.5,32.5,12.9,True
2024-07-20,2024,7,Jul,Invierno,Bariloche,0.8,84.9,0.0,24.2,False
2024-07-21,2024,7,Jul,Invierno,Bariloche,4.1,73.9,13.7,8.0,True
2024-07-22,2024,7,Jul,Invierno,Bariloche,5.1,63.7,0.0,12.3,False
2024-07-23,2024,7,Jul,Invierno,Bariloche,-3.4,78.1,0.0,14.0,False
2024-07-24,2024,7,Jul,Invierno,Bariloche,1.1,75.1,1.8,17.7,True
2024-07-25,2024,7,Jul,Invierno,Bariloche,-2.0,73.7,19.7,15.0,True
2024-07-26,2024,7,Jul,Invierno,Bariloche,2.6,78.1,0.0,12.3,False
2024-07-27,2024,7,Jul,Invierno,Bariloche,-1.0,75.5,0.0,6.6,False
2024-07-28,2024,7,Jul,Invierno,Bariloche,-2.1,88.5,0.3,18.8,True
2024-07-29,2024,7,Jul,Invierno,Bariloche,1.0,73.2,0.0,9.8,False
2024-07-30,2024,7,Jul,Invierno,Bariloche,0.9,77.7,0.0,26.3,False
2024-07-31,2024,7,Jul,Invierno,Bariloche,0.8,88.9,0.0,15.9,False
2024-08-01,2024,8,Aug,Invierno,Bariloche,1.3,80.6,0.0,18.9,False
2024-08-02,2024,8,Aug,Invierno,Bariloche,2.0,72.3,0.1,5.5,True
2024-08-03,2024,8,Aug,Invierno,Bariloche,0.3,72.5,0.0,20.2,False
2024-08-04,2024,8,Aug,Invierno,Bariloche,-0.3,70.6,1.7,3.4,True
2024-08-05,2024,8,Aug,Invierno,Bariloche,2.5,62.0,0.0,6.6,False
2024-08-06,2024,8,Aug,Invierno,Bariloche,1.5,84.0,0.9,8.8,True
2024-08-07,2024,8,Aug,Invierno,Bariloche,-0.7,69.3,0.0,11.0,False
2024-08-08,2024,8,Aug,Invierno,Bariloche,2.3,69.5,0.6,15.1,True
2024-08-09,2024,8,Aug,Invierno,Bariloche,4.6,81.3,15.4,11.5,True
2024-08-10,2024,8,Aug,Invierno,Bariloche,1.8,75.5,0.0,10.2,False
2024-08-11,2024,8,Aug,Invierno,Bariloche,-0.1,69.7,0.0,5.2,False
2024-08-12,2024,8,Aug,Invierno,Bariloche,-0.8,77.7,0.0,10.9,False
2024-08-13,2024,8,Aug,Invierno,Bariloche,-0.0,88.0,0.0,14.1,False
2024-08-14,2024,8,Aug,Invierno,Bariloche,-0.2,79.7,0.0,12.7,False
2024-08-15,2024,8,Aug,Invierno,Bariloche,0.4,72.3,24.9,13.4,True
2024-08-16,2024,8,Aug,Invierno,Bariloche,1.9,79.6,1.6,17.3,True
2024-08-17,2024,8,Aug,Invierno,Bariloche,1.9,79.5,31.8,10.7,True
2024-08-19,2024,8,Aug,Invierno,Bariloche,1.6,78.4,0.0,19.2,False
2024-08-20,2024,8,Aug,Invierno,Bariloche,1.6,71.9,8.1,8.2,True
2024-08-21,2024,8,Aug,Invierno,Bariloche,1.7,85.9,0.0,16.3,False
2024-08-23,2024,8,Aug,Invierno,Bariloche,6.4,68.1,0.0,22.4,False
2024-08-24,2024,8,Aug,Invierno,Bariloche,2.4,64.4,0.0,12.0,False
2024-08-25,2024,8,Aug,Invierno,Bariloche,4.6,67.0,7.5,20.9,True
2024-08-26,2024,8,Aug,Invierno,Bariloche,1.6,64.7,1.3,10.8,True
2024-08-27,2024,8,Aug,Invierno,Bariloche,2.5,67.2,0.0,13.7,False
2024-08-28,2024,8,Aug,Invierno,Bariloche,4.6,69.2,0.0,14.8,False
2024-08-29,2024,8,Aug,Invierno,Bariloche,5.4,64.5,19.9,14.9,True
2024-08-30,2024,8,Aug,Invierno,Bariloche,0.9,63.7,0.0,16.3,False
2024-08-31,2024,8,Aug,Invierno,Bariloche,3.1,80.4,0.0,23.1,False
2024-09-01,2024,9,Sep,Primavera,Bariloche,0.2,73.8,0.0,13.1,False
2024-09-02,2024,9,Sep,Primavera,Bariloche,5.4,77.7,0.0,13.4,False
2024-09-03,2024,9,Sep,Primavera,Bariloche,-1.1,74.0,0.0,23.1,False
2024-09-04,2024,9,Sep,Primavera,Bariloche,4.7,70.9,0.0,20.4,False
2024-09-05,2024,9,Sep,Primavera,Bariloche,3.1,83.2,0.0,15.0,False
2024-09-06,2024,9,Sep,Primavera,Bariloche,5.3,81.4,0.0,17.7,False
2024-09-07,2024,9,Sep,Primavera,Bariloche,2.9,74.0,0.0,10.7,False
2024-09-08,2024,9,Sep,Primavera,Bariloche,4.3,69.0,0.0,21.7,False
2024-09-09,2024,9,Sep,Primavera,Bariloche,5.7,69.0,0.0,10.1,False
2024-09-10,2024,9,Sep,Primavera,Bariloche,2.4,73.9,27.4,24.0,True
2024-09-11,2024,9,Sep,Primavera,Bariloche,2.7,54.0,0.0,25.1,False
2024-09-12,2024,9,Sep,Primavera,Bariloche,5.2,71.9,1.8,4.3,True
2024-09-13,2024,9,Sep,Primavera,Bariloche,7.0,78.3,0.0,16.8,False
2024-09-14,2024,9,Sep,Primavera,Bariloche,3.4,86.7,0.0,18.0,False
2024-09-15,2024,9,Sep,Primavera,Bariloche,5.2,77.6,8.4,11.9,True
2024-09-16,2024,9,Sep,Primavera,Bariloche,3.5,77.4,0.0,21.4,False
2024-09-17,2024,9,Sep,Primavera,Bariloche,7.9,73.6,16.3,14.6,True
2024-09-18,2024,9,Sep,Primavera,Bariloche,5.1,71.6,0.0,16.2,False
2024-09-19,2024,9,Sep,Primavera,Bariloche,6.7,67.5,0.0,7.0,False
2024-09-20,2024,9,Sep,Primavera,Bariloche,6.8,79.1,0.0,2.7,False
2024-09-21,2024,9,Sep,Primavera,Bariloche,4.2,89.1,0.0,16.0,False
2024-09-22,2024,9,Sep,Primavera,Bariloche,6.3,60.4,10.4,15.2,True
2024-09-23,2024,9,Sep,Primavera,Bariloche,5.3,68.2,0.0,26.1,False
2024-09-24,2024,9,Sep,Primavera,Bariloche,9.0,70.6,0.0,7.4,False
2024-09-25,2024,9,Sep,Primavera,Bariloche,6.5,74.7,0.0,17.4,False
2024-09-26,2024,9,Sep,Primavera,Bariloche,4.2,84.5,0.0,23.8,False
2024-09-27,2024,9,Sep,Primavera,Bariloche,2.1,76.4,0.0,17.3,False
2024-09-28,2024,9,Sep,Primavera,Bariloche,5.5,88.8,0.0,9.4,False
2024-09-29,2024,9,Sep,Primavera,Bariloche,7.8,59.7,21.6,14.0,True
2024-09-30,2024,9,Sep,Primavera,Bariloche,8.8,82.7,5.2,8.8,True
2024-10-01,2024,10,Oct,Primavera,Bariloche,8.4,71.3,6.4,13.4,True
2024-10-02,2024,10,Oct,Primavera,Bariloche,11.0,92.2,5.3,16.3,True
2024-10-03,2024,10,Oct,Primavera,Bariloche,5.7,72.0,14.5,9.7,True
2024-10-04,2024,10,Oct,Primavera,Bariloche,6.2,85.5,6.9,14.2,True
2024-10-05,2024,10,Oct,Primavera,Bariloche,10.3,71.1,4.4,13.6,True
2024-10-06,2024,10,Oct,Primavera,Bariloche,6.6,86.2,3.0,25.1,True
2024-10-07,2024,10,Oct,Primavera,Bariloche,7.3,66.1,11.6,15.7,True
2024-10-08,2024,10,Oct,Primavera,Bariloche,10.3,64.1,0.0,20.0,False
2024-10-09,2024,10,Oct,Primavera,Bariloche,5.7,49.8,0.0,8.2,False
2024-10-10,2024,10,Oct,Primavera,Bariloche,5.8,79.4,0.0,13.8,False
2024-10-11,2024,10,Oct,Primavera,Bariloche,4.9,74.7,15.3,18.2,True
2024-10-12,2024,10,Oct,Primavera,Bariloche,14.8,71.4,0.0,16.4,False
2024-10-13,2024,10,Oct,Primavera,Bariloche,9.3,67.8,0.0,7.9,False
2024-10-14,2024,10,Oct,Primavera,Bariloche,9.4,83.8,0.0,16.7,False
2024-10-15,2024,10,Oct,Primavera,Bariloche,9.6,78.7,0.0,8.3,False
2024-10-16,2024,10,Oct,Primavera,Bariloche,9.9,64.0,0.0,10.2,False
2024-10-17,2024,10,Oct,Primavera,Bariloche,11.0,80.8,1.6,13.0,True
2024-10-18,2024,10,Oct,Primavera,Bariloche,13.0,76.2,3.2,6.1,True
2024-10-19,2024,10,Oct,Primavera,Bariloche,7.0,70.8,0.0,11.7,False
2024-10-20,2024,10,Oct,Primavera,Bariloche,9.0,76.6,0.0,9.8,False
2024-10-21,2024,10,Oct,Primavera,Bariloche,9.1,71.9,4.7,14.5,True
2024-10-22,2024,10,Oct,Primavera,Bariloche,10.1,72.0,0.0,8.8,False
2024-10-23,2024,10,Oct,Primavera,Bariloche,12.6,68.2,0.0,7.4,False
2024-10-24,2024,10,Oct,Primavera,Bariloche,13.4,70.3,9.7,15.3,True
2024-10-25,2024,10,Oct,Primavera,Bariloche,11.7,66.4,0.0,13.0,False
2024-10-26,2024,10,Oct,Primavera,Bariloche,9.2,72.2,0.0,7.5,False
2024-10-27,2024,10,Oct,Primavera,Bariloche,13.6,78.0,0.0,21.3,False
2024-10-28,2024,10,Oct,Primavera,Bariloche,9.7,79.3,23.6,12.9,True
2024-10-29,2024,10,Oct,Primavera,Bariloche,9.5,81.5,0.0,12.4,False
2024-10-30,2024,10,Oct,Primavera,Bariloche,7.7,83.7,0.5,11.8,True
2024-10-31,2024,10,Oct,Primavera,Bariloche,10.7,55.5,3.5,10.4,True
2024-11-01,2024,11,Nov,Primavera,Bariloche,11.0,78.2,7.3,15.2,True
2024-11-02,2024,11,Nov,Primavera,Bariloche,9.5,84.8,0.0,14.8,False
2024-11-03,2024,11,Nov,Primavera,Bariloche,5.8,68.1,0.0,14.6,False
2024-11-04,2024,11,Nov,Primavera,Bariloche,11.6,73.0,0.0,15.5,False
2024-11-05,2024,11,Nov,Primavera,Bariloche,12.9,80.9,0.0,16.2,False
2024-11-06,2024,11,Nov,Primavera,Bariloche,8.6,49.1,0.0,9.4,False
2024-11-07,2024,11,Nov,Primavera,Bariloche,12.0,52.5,0.0,21.9,False
2024-11-08,2024,11,Nov,Primavera,Bariloche,13.4,66.2,0.0,2.8,False
2024-11-09,2024,11,Nov,Primavera,Bariloche,12.6,79.1,1.7,13.4,True
2024-11-10,2024,11,Nov,Primavera,Bariloche,11.6,64.0,0.0,4.7,False
2024-11-11,2024,11,Nov,Primavera,Bariloche,12.3,65.9,0.0,8.2,False
2024-11-12,2024,11,Nov,Primavera,Bariloche,9.8,69.2,0.0,24.9,False
2024-11-13,2024,11,Nov,Primavera,Bariloche,12.1,71.8,1.6,10.9,True
2024-11-14,2024,11,Nov,Primavera,Bariloche,11.9,72.4,0.0,6.1,False
2024-11-15,2024,11,Nov,Primavera,Bariloche,17.4,68.2,0.0,9.1,False
