fecha,ciudad,temperatura,humedad,precipitacion_mm,viento_kmh
2024-02-18,Cordoba,30.1,53.6,0.0,21.9
2024-07-11,cordoba ,4.5 C,66.3,0.0,22.3
2024-03-22,Cordoba,s/d,"51,7",7.7,18.0
2024-11-23,Buenos Aires,23.7 C,,0.0,10.1
2024-01-31,cordoba,25.8,50.9,0.0,6.4
2024-08-31,Bariloche,3.1 C,80.4,0.0,23.1
2024-06-04,Bariloche,0.6,"87,8",N/A,25.1
2024-06-03,Bariloche,6.1 C,"66,4",0.0,3.0
14/12/2024,bariloche,13.7,,0.0,15.8
2024-09-29,Bariloche,7.8,59.7,21.6,14.0
09-03-2024,Bariloche,13.0 C,"67,4",0.0,19.4
2024-05-24,San Carlos de Bariloche,4.3 C,79.2,0.0,8.5
09-11-2024,Cordoba,18.6,55.8,43.5,s/d
19/01/2024,Bariloche,14.7,66.2,0.0,23.1
24-07-2024,CÓRDOBA,3.9 C,"51,7",10.5,9.5
2024-07-18,Cordoba,3.8,57.1,0.6,16.7
2024-04-15, Bariloche,6.7,78.7,,15.4
2024-04-16,Bariloche,,s/d,0.0,10.9
2024-11-11,Cordoba,20.5,"62,3",0.0,21.0
2024-07-04,cordoba,7.3,71.8,nan,s/d
2024-04-23,Buenos Aires,16.6,59.9,0.0,16.9
15/04/2024,Córdoba ,16.0 C,54.2,0.3,16.5
2024-11-03,Cordoba,21.9,45.2,3.6,12.5
2024-06-08,CÓRDOBA,9.6,56.4,0.0,17.6
2024-08-20,Cordoba,5.1,59.7,0.0,12.6
2024-08-16,Buenos Aires,-,73.8,0.0,11.8
2024-01-24,Buenos Aires,28.0,"63,8",0.0,19.8
2024-11-24,Buenos Aires,21.7 C,63.7,0.0,17.2
11/02/2024,Bariloche,17.4,69.4,0.0,12.5
2024-12-23,Bs As,26.0 C,52.6,0.0,19.5
2024-03-13,Bariloche,,73.6,0.0,8.3
2024-05-08,buenos aires,13.7 C,66.6,1.5,0.0
2024-01-07,Córdoba ,26.7,"51,5",0.0,25.2
2024-05-24,San Carlos de Bariloche,4.3 C,79.2,0.0,8.5
2024-04-26,CÓRDOBA,,59.7,0.0,11.8
05 de Jan de 2024,Bariloche,18.8,"78,9",0.0,7.5
12-02-2024,BARILOCHE,15.6,"76,9",0.0,12.9
26 de May de 2024,Buenos Aires,14.3,"71,9",,11.2
24/07/2024, Buenos Aires,5.2 C,66.0,3.5,18.8
2024-02-26,Cordoba,25.5,"66,8",0.0,20.2
16/09/2024, Bariloche,3.5,77.4,0.0,21.4
09 de Jan de 2024,Cordoba,29.7,,0.0,20.7
2024-11-15,Buenos Aires,19.7,50.7,0.0,17.0
2024-01-17,Bariloche,17.6,77.2,0.0,12.7
2024-03-11,Buenos Aires,23.4,70.4,0.0,10.3
2024-06-02,Bariloche,1.3,"67,7",23.9,12.3
2024-04-10,Cordoba,17.4,44.8,17.7,8.2
2024-01-20,Cordoba,29.7 C,52.9,11.1,7.4
02/05/2024,CÓRDOBA,14.8,68.4,0.0,12.8
2024-02-10,Buenos Aires,23.5,"68,7",0.0,9.5
19 de Apr de 2024,Buenos Aires,17.1,69.9,0.0,1.0
2024-08-09,Bariloche,4.6 C,81.3,15.4,11.5
2024-06-13,Buenos Aires,10.8,71.1,1.7,13.8
2024-05-20,Buenos Aires,13.6,87.4,0.0,s/d
27-03-2024,BARILOCHE,300.0,64.7,0.0,21.3
2024-06-21,Buenos  Aires,11.4,76.1,0.0,23.9
2024-06-28,Bs As,9.3,75.2,0.0,3.7
2024-05-18,Cordoba,12.5 C,"47,8",0.0,4.1
2024-09-09,Buenos Aires,15.7,72.5,0.0,16.4
2024-04-17,cordoba,15.9,54.4,0.0,15.4
2024-10-18,CÓRDOBA,18.5,60.7,0.0,17.7
2024-09-07,bariloche,2.9,74.0,0.0,10.7
2024-10-21,cordoba ,18.6,57.0,0.0,18.7
10 de Dec de 2024,Bariloche,15.9 C,"62,6",0.0,17.1
03 de Feb de 2024,Cordoba,30.4,"45,1",3.2,9.2
2024-03-21,Cordoba,24.0,"48,3",0.0,2.7
2024-05-19,Bariloche,4.8,"91,6",23.3,17.6
24/08/2024,Bariloche,2.4 C,64.4,0.0,12.0
2024-08-12,Buenos Aires,10.1,"82,7",2.7,15.1
2024-02-08,Buenos  Aires,27.6,73.2,1.4,15.4
24-02-2024,Cordoba,28.1 C,"42,2",1.5,11.6
2024-09-19,Buenos  Aires,14.9,67.8,0.0,17.3
2024-04-19,San Carlos de Bariloche,11.2,"64,6",0.0,23.8
2024-11-21,Buenos Aires,25.2,76.1,5.6,17.3
2024-01-23,Bariloche,18.0,"54,7",0.0,16.6
2024-01-14,Buenos Aires,26.2,"57,6",13.5,17.7
2024-02-12,cordoba,24.6,54.0,0.0,9.6
2024-10-12,Buenos Aires,14.0 C,61.2,0.0,23.3
2024-05-20,Bariloche,3.4,81.4,1.5,4.2
2024-05-04,Bariloche,N/A,80.8,0.0,16.6
2024-10-05,Buenos Aires,16.9,nan,21.4,20.6
2024-10-27,Cordoba,19.7 C,58.4,0.0,9.1
2024-03-27,Cordoba,19.5,54.5,0.0,14.9
2024-04-22,Cordoba,11.4 C,61.6,0.0,13.0
2024-04-03,Bariloche,8.8,"82,3",0.0,4.5
10 de Mar de 2024,Cordoba,23.5,54.9,0.8,21.0
2024-03-01,Buenos Aires,-,66.0,0.0,11.3
2024-04-20,Buenos Aires,20.8 C,57.4,0.0,13.9
05 de Jan de 2024,BUENOS AIRES,25.9,57.1,0.0,N/A
2024-02-11,CÓRDOBA,27.9 C,46.2,0.0,10.9
24-07-2024,bariloche,1.1,75.1,1.8,17.7
2024-03-07,cordoba,26.2,45.0,18.7,16.6
2024-05-05,cordoba ,13.8,-,0.0,11.7
16-07-2024,Cordoba,5.4,"71,3",0.0,11.6
2024-10-16,Cordoba,20.0 C,"60,1",0.0,
04-04-2024,buenos aires,22.4,"81,6",0.0,27.1
2024-08-17,bariloche,1.9,79.5,31.8,10.7
2024-04-27,Cordoba,15.4,50.7,0.0,19.2
2024-12-16,Cordoba,26.9,43.9,0.0,10.8
2024-12-02,Buenos Aires,26.6 C,70.4,4.3,11.7
2024-09-20,Buenos Aires,13.5,"76,2",0.0,0.0
23-02-2024,Bariloche,15.0 C,"68,8",0.0,10.9
2024-07-07,Bariloche,2.0 C,71.2,0.0,7.1
2024-02-28,Buenos Aires,25.7,"54,2",0.4,28.3
25/05/2024,cordoba ,10.1,65.8,14.6,7.8
07-05-2024,cordoba,11.8,49.7,0.0,9.9
2024-01-25,Buenos Aires,26.2,,2.1,21.6
2024-12-24,Buenos Aires,26.1,65.6,0.0,21.3
2024-06-20,buenos aires,10.9,62.7,2.2,18.3
06 de Sep de 2024, Bariloche,5.3 C,"81,4",0.0,17.7
2024-01-26,Buenos Aires,26.2,"41,8",1.0,16.1
2024-11-27,Cordoba,22.2,47.7,0.0,11.9
30/01/2024,San Carlos de Bariloche,14.6,67.6,0.0,16.7
2024-09-12,cordoba ,12.5,74.8,0.0,9.5
2024-05-31,Bariloche,2.5,73.5,0.0,7.6
2024-08-12,Cordoba,5.8,65.6,0.0,21.3
2024-05-10,Buenos Aires,13.0,76.1,8.8,14.6
2024-06-02,Buenos Aires,17.2,70.0,0.0,14.3
02-01-2024,San Carlos de Bariloche,17.2,72.7,0.0,5.2
2024-12-16,Bariloche,17.1 C,70.7,0.0,22.4
2024-03-26,Bariloche,12.1,"79,8",0.0,21.0
2024-10-21,Buenos Aires,21.0,54.9,0.0,10.4
2024-04-08,Buenos Aires,20.8 C,"79,2",0.0,21.1
2024-03-04,Buenos Aires,26.0,81.7,0.0,20.2
2024-03-16,Buenos Aires,21.2,71.5,0.0,17.7
18 de Apr de 2024,Cordoba,19.1,-,0.0,4.8
01 de Sep de 2024,Buenos Aires,8.4,77.5,0.0,16.2
06 de Apr de 2024,bariloche,14.0 C,63.6,0.0,9.2
2024-07-15,cordoba,9.6 C,60.8,0.0,18.7
2024-10-02,CÓRDOBA,14.1,"60,5",7.4,27.3
13-06-2024,Cordoba,7.9,71.6,0.0,18.0
2024-07-29,Bariloche,1.0 C,73.2,0.0,9.8
2024-08-15,San Carlos de Bariloche,0.4,72.3,24.9,13.4
2024-07-16,Bariloche,1.7,72.8,0.1,-
14 de May de 2024,buenos aires,13.6,"60,7",0.0,13.1
2024-08-04,BUENOS AIRES,6.5,66.9,0.0,9.0
2024-04-12,bariloche,7.6,72.4,0.9,21.1
2024-11-16, Bariloche,8.0 C,"65,4",0.0,12.2
01 de Mar de 2024,Cordoba,19.9,58.3,0.0,12.9
04/01/2024,Buenos Aires,22.6,49.3,0.0,10.6
15/07/2024,buenos aires,9.9,-,6.7,7.5
12-05-2024,Cordoba,10.6,"56,1",nan,14.6
2024-06-17,Buenos Aires,9.7,"76,6",8.3,11.8
2024-02-07,Cordoba,29.7 C,"51,3",0.0,N/A
2024-01-18, Buenos Aires,29.2,65.9,0.0,10.1
13 de Nov de 2024,Buenos  Aires,23.2,67.1,14.0,12.1
2024-01-27,Bs As,27.8,61.8,0.0,25.3
2024-04-08,Bariloche,12.4 C,79.9,0.0,14.0
2024-02-16,Bariloche,15.5 C,"72,4",0.0,14.4
17-06-2024,Cordoba,3.8 C,52.8,2.1,13.4
2024-11-03,Bariloche,5.8,"68,1",0.0,14.6
2024-12-20,cordoba,25.4,48.4,0.0,8.4
2024-11-22,Bariloche,13.5,"72,4",0.0,14.3
2024-04-30,Bariloche,5.2,73.9,0.0,12.8
2024-08-08,Bs As,11.0,81.5,0.0,16.4
2024-03-02,Buenos Aires,20.5,58.4,1.4,24.0
16 de Apr de 2024,cordoba ,14.4,52.2,11.3,3.2
2024-09-01,cordoba,10.7,"50,3",0.0,8.8
2024-12-14,Cordoba,27.3,49.2,0.0,7.4
2024-03-24,Buenos Aires,21.3,49.4,0.0,24.6
2024-07-23,Buenos Aires,14.1,70.1,0.0,3.9
20/08/2024,San Carlos de Bariloche,nan,71.9,8.1,8.2
2024-01-08,San Carlos de Bariloche,14.4,67.7,5.1,0.0
24 de Oct de 2024,Cordoba,17.2,61.0,0.0,13.1
2024-08-17,Cordoba,7.3,63.6,0.0,13.1
2024-01-07,Bariloche,15.9,57.8,0.0,15.9
02/03/2024,Bariloche,14.8,79.2,0.0,15.9
20-12-2024,San Carlos de Bariloche,18.3,76.2,0.0,s/d
10/09/2024,buenos aires,17.7,67.9,2.3,15.2
2024-12-05,Buenos Aires,N/A,"63,9",3.1,8.4
2024-03-29,Cordoba,15.5,47.8,4.3,13.2
2024-06-19,Bariloche,1.6,84.5,0.0,21.6
2024-08-06,bariloche,1.5,"84,0",0.9,
2024-06-17,bariloche,2.1,66.1,2.7,21.4
2024-02-29,Bariloche,12.7 C,75.2,1.9,11.8
2024-07-09,Cordoba,4.6 C,70.5,0.0,15.5
2024-01-03, Bariloche,18.7 C,63.5,0.0,16.0
2024-03-22,BARILOCHE,10.3,"71,7",17.7,14.5
2024-08-31,Cordoba,5.8,57.6,0.0,17.0
2024-03-15,Buenos Aires,23.4,70.1,0.0,9.0
2024-08-01,Bariloche,1.3,-,0.0,18.9
21 de Jul de 2024,Cordoba,4.0,"63,4",0.0,3.3
2024-11-21,Bariloche,13.9,64.4,27.2,12.5
19-02-2024,Bariloche,18.4,65.3,0.0,12.0
2024-02-27,BUENOS AIRES,27.0 C,64.8,0.0,7.5
2024-05-14,Bariloche,8.3,N/A,0.0,18.2
2024-07-10,Cordoba,6.4 C,,0.0,17.5
2024-12-27,Bariloche,18.1 C,69.7,0.0,9.1
2024-12-08, Bariloche,s/d,"51,0",0.0,21.0
2024-10-01,Bariloche,8.4,"71,3",6.4,13.4
2024-08-05,BUENOS AIRES,9.5,78.2,15.2,7.6
22-02-2024,Cordoba,28.4,"63,2",0.0,13.4
2024-02-19,Cordoba,25.8,"33,9",0.0,10.4
2024-08-25,Cordoba,9.0 C,"60,4",0.0,9.1
2024-11-11,Bariloche,12.3,65.9,0.0,8.2
2024-08-24,Cordoba,8.6,62.1,0.6,13.5
2024-02-27,Bariloche,14.3,75.1,4.4,1.2
2024-10-11,Buenos Aires,20.3 C,66.2,6.3,6.3
2024-11-27,Bariloche,17.4,"63,7",0.0,17.0
14-11-2024,buenos aires,nan,"73,2",2.9,9.3
24 de Dec de 2024,bariloche,15.0,67.5,5.4,8.4
13 de Feb de 2024,Cordoba,27.1,52.1,0.0,15.4
2024-01-07,Buenos Aires,27.2,"58,9",0.5,10.4
04 de Nov de 2024,Bs As,22.3 C,79.3,0.7,10.5
01/02/2024,cordoba ,27.4 C,46.6,0.0,26.1
29-11-2024,Cordoba,25.5,N/A,0.7,N/A
2024-05-18,Buenos Aires,14.3,nan,0.0,16.0
12/06/2024,Buenos Aires,8.0,92.8,11.1,14.4
11 de Sep de 2024,Cordoba,9.2 C,46.7,nan,20.6
2024-04-03,Cordoba,17.7 C,40.4,0.0,10.1
2024-08-08,Bariloche,2.3,69.5,0.6,15.1
13/02/2024,Buenos  Aires,24.1,63.0,0.0,16.0
2024-11-13,Bariloche,12.1,71.8,1.6,10.9
18-05-2024,Bariloche,8.5,89.9,0.0,17.3
2024-01-06,Bariloche,14.1,"66,2",3.4,9.2
2024-11-01,cordoba,19.6,"50,9",0.0,18.4
2024-11-22,Buenos  Aires,21.2 C,"62,5",0.0,17.0
2024-01-03, Bariloche,18.7 C,63.5,0.0,16.0
2024-03-06,Cordoba,23.4,58.2,0.0,4.3
2024-12-21,Buenos Aires,24.4,55.1,0.0,2.2
2024-01-20,Buenos Aires,28.8 C,63.7,nan,12.2
2024-02-11,Buenos Aires,23.6,69.7,0.0,21.6
2024-09-01,Bariloche,0.2 C,"73,8",0.0,13.1
2024-10-11,bariloche,4.9,"74,7",15.3,18.2
2024-08-16,cordoba ,6.4,45.6,0.0,11.4
11 de Dec de 2024,Bariloche,14.7,"56,0",24.5,12.7
24-10-2024, Buenos Aires,17.4,"78,4",0.0,13.5
2024-03-30,Cordoba,20.2,"51,8",,10.1
17-05-2024,Buenos Aires,,72.0,0.6,14.5
2024-01-24,Cordoba,-,"50,9",0.0,7.2
2024-07-04,Buenos Aires,6.4,67.9,10.7,14.2
2024-03-24,bariloche,14.3 C,"68,7",10.0,18.6
2024-11-12,Buenos Aires,22.4,"71,9",0.0,27.9
2024-09-02,San Carlos de Bariloche,5.4 C,77.7,0.0,13.4
2024-01-31,San Carlos de Bariloche,16.4,61.5,7.6,15.1
2024-02-26,Bariloche,11.2 C,71.0,0.0,16.8
06 de Jun de 2024,Bariloche,2.4,78.5,9.5,22.7
2024-08-23,Bariloche,6.4,68.1,0.0,22.4
2024-09-09,Cordoba,12.6,65.0,0.0,12.9
2024-02-28,BARILOCHE,15.8 C,72.1,2.1,13.3
05/10/2024,cordoba ,14.5,55.4,0.0,13.7
2024-10-25,Córdoba ,16.9,"66,3",0.0,20.7
2024-05-28,Buenos Aires,13.0,74.0,0.0,21.7
2024-12-16,Buenos  Aires,27.2,74.1,0.0,12.1
2024-03-19,Bariloche,15.0,"72,3",10.6,12.3
2024-06-11,Bariloche,2.9,70.1,0.0,17.5
2024-04-09,San Carlos de Bariloche,12.2,"77,4",0.2,
13-12-2024,Buenos  Aires,26.1,"53,0",0.0,8.2
2024-06-06,Cordoba,10.2 C,61.9,0.0,8.6
2024-11-21,Cordoba,24.0 C,44.8,0.0,s/d
10-03-2024,Bariloche,17.7,65.8,0.0,18.3
31/12/2024,Córdoba ,27.3,62.4,0.0,14.8
2024-08-20,BUENOS AIRES,7.4,54.5,12.7,s/d
2024-05-27,Cordoba,8.7 C,"66,5",0.0,10.0
2024-11-30,Bariloche,13.0,"62,7",0.0,15.0
2024-06-07,Buenos Aires,10.6 C,68.5,0.0,19.1
2024-09-08,Bariloche,s/d,69.0,0.0,21.7
13 de Sep de 2024,Buenos Aires,13.4,,9.1,12.5
2024-10-26,BARILOCHE,9.2,N/A,0.0,7.5
2024-04-06,BUENOS AIRES,21.7,52.7,29.3,2.5
2024-12-22,Bariloche,12.7,"71,4",0.0,19.2
2024-07-30,Cordoba,6.6,47.1,0.0,18.8
2024-06-23,Cordoba,6.3,63.4,0.0,16.0
2024-10-12,Bariloche,14.8,71.4,0.0,16.4
2024-11-10,Buenos Aires,21.7 C,"58,6",0.0,21.9
2024-07-14,Bariloche,2.3,75.2,0.0,8.4
2024-06-13,Bariloche,4.3 C,"77,7",0.0,12.2
19/08/2024,Cordoba,8.5,51.4,0.0,8.3
2024-06-07,Bariloche,5.7,78.4,-,12.4
06/09/2024,BUENOS AIRES,13.8,"67,1",8.1,
2024-05-06,Cordoba,15.2 C,65.6,2.8,20.9
2024-01-16,Buenos Aires,25.6,50.9,3.0,20.6
2024-06-08,buenos aires,5.7,70.2,0.0,17.8
12/12/2024,Cordoba,24.3 C,"54,0",0.0,10.5
2024-07-17,Cordoba,,59.9,0.0,10.7
2024-02-18,Buenos Aires,24.5,70.7,6.5,15.0
2024-09-23,Cordoba,13.8,54.3,0.0,15.0
2024-07-25,Cordoba,8.8,"66,5",0.0,3.6
2024-01-02,Cordoba,28.7,,0.0,10.3
22-04-2024,Buenos Aires,12.4,"67,9",0.0,13.3
2024-07-30,Bariloche,nan,"77,7",0.0,26.3
2024-11-26,Bariloche,14.6 C,84.1,0.0,4.6
17 de May de 2024,Cordoba,12.8 C,55.4,s/d,17.8
2024-01-14,Cordoba,28.6,59.2,0.0,12.2
2024-09-17,Bariloche,7.9,"73,6",16.3,14.6
24/12/2024,CÓRDOBA,26.0 C,41.4,0.0,-
2024-05-03,CÓRDOBA,13.4,54.9,0.0,20.8
2024-03-24,Cordoba,23.5,"49,9",0.0,10.1
2024-05-07,Buenos Aires,15.0,66.9,2.3,12.6
2024-01-21, Bariloche,13.1,71.7,0.0,2.6
2024-03-04,Bariloche,12.4 C,"81,2",8.2,8.8
2024-05-24,cordoba ,8.7,54.8,0.0,10.2
2024-08-25, Buenos Aires,10.6 C,"79,4",0.0,11.9
2024-06-16,Buenos Aires,5.6 C,69.6,0.0,s/d
2024-12-18,Cordoba,25.0 C,43.4,16.4,17.2
2024-06-24,Cordoba,8.1,50.9,0.0,13.1
21/03/2024,Buenos  Aires,21.2,61.0,0.0,14.6
2024-07-20,Cordoba,6.9,69.9,0.0,7.6
2024-10-27,Bs As,22.4 C,64.5,0.0,6.5
2024-04-29,San Carlos de Bariloche,9.7,74.9,13.0,20.2
2024-11-20,Buenos Aires,23.4,66.4,0.0,13.8
04/09/2024,Bariloche,4.7,70.9,0.0,20.4
2024-08-03,Buenos Aires,11.8 C,"65,9",0.0,14.6
2024-03-05,Cordoba,22.2,52.5,0.0,13.9
2024-01-31,Buenos Aires,29.2,69.2,10.4,22.4
2024-08-30,Buenos Aires,13.5,"66,3",0.0,12.3
2024-10-16,Bariloche,9.9,"64,0",0.0,10.2
17-05-2024,Bariloche,9.4,83.3,5.6,11.7
2024-04-20,BARILOCHE,3.4,"63,0",0.0,10.9
2024-08-13,Bariloche,-0.0 C,88.0,0.0,14.1
2024-06-05,Córdoba ,10.9,58.2,9.1,4.7
2024-10-17,Cordoba,18.0,"66,9",11.6,22.4
2024-03-15,bariloche,12.1 C,"76,6",0.0,24.0
2024-01-28,Buenos Aires,27.2 C,"65,2",0.0,13.6
12-01-2024,Cordoba,27.7 C,53.8,0.0,5.8
2024-05-02,Buenos Aires,11.9,s/d,3.8,10.1
2024-06-30,Bariloche,-1.3,76.6,2.3,9.6
2024-11-14,Bariloche,11.9 C,72.4,0.0,6.1
22/08/2024,Cordoba,5.8,45.7,0.0,13.5
24-09-2024,Bariloche,9.0,70.6,0.0,7.4
2024-10-09,CÓRDOBA,13.0,53.9,0.0,13.5
2024-06-29,Bariloche,2.2 C,78.9,0.0,5.0
21-07-2024,Buenos Aires,6.1 C,"77,7",16.3,18.3
2024-03-12,Cordoba,25.3,30.6,0.0,18.1
2024-12-28,Buenos Aires,27.7 C,69.0,0.0,15.4
2024-09-28,Buenos Aires,15.4 C,75.2,1.0,14.3
2024-06-08,Bariloche,8.0,"72,8",0.0,10.3
29 de Sep de 2024,buenos aires,17.2,68.7,0.0,10.5
2024-10-04,Buenos Aires,14.3,68.7,0.0,26.0
22 de Aug de 2024,BARILOCHE,2.0 C,73.3,2.9,21.1
2024-01-13,Buenos Aires,24.0 C,56.0,0.0,15.9
2024-03-06,Bariloche,,57.1,0.0,11.0
08/07/2024,Bariloche,2.9 C,76.4,10.1,14.4
2024-04-21, Bariloche,7.5 C,75.9,0.0,14.5
2024-05-27,Buenos Aires,10.2,"77,9",6.7,8.9
2024-10-26,Buenos Aires,20.6 C,64.8,7.6,16.4
25-04-2024,Buenos Aires,15.5 C,"62,3",1.0,10.6
10 de Jan de 2024,Cordoba,26.5,57.6,0.0,18.1
2024-05-06,Bariloche,9.2,73.1,0.0,10.0
2024-12-29,Cordoba,26.2 C,52.8,0.0,11.3
2024-10-28,Córdoba ,18.1,45.8,0.0,18.2
2024-06-26,Buenos Aires,9.3,68.4,0.0,16.4
28 de Apr de 2024,CÓRDOBA,15.4,"55,9",0.0,15.5
2024-02-21,Buenos Aires,27.6 C,53.0,0.0,8.4
2024-06-01,cordoba ,8.8,55.0,0.0,0.0
2024-09-30,Bariloche,8.8,"82,7",5.2,8.8
2024-02-05,Bariloche,15.0,64.3,0.0,11.9
2024-01-23,Cordoba,29.9,43.6,0.0,10.8
23/01/2024,Buenos Aires,28.0 C,"72,3",0.0,10.8
09/08/2024,Córdoba ,7.9,63.5,0.0,nan
2024-02-16,Cordoba,30.3,52.5,0.0,15.2
2024-09-02,Cordoba,9.3,60.9,0.0,15.1
2024-02-06,Bariloche,16.2,63.1,16.9,4.9
23/12/2024,Bariloche,12.5,68.7,0.0,19.7
2024-04-07,Cordoba,17.1,65.4,0.0,12.5
2024-11-26,cordoba,20.6,48.0,0.0,6.8
10 de Apr de 2024,bariloche,nan,"57,6",0.0,11.8
2024-07-28,Buenos Aires,7.7,82.2,0.0,23.7
2024-08-04,cordoba ,7.6,"66,0",0.0,17.8
2024-05-22,Buenos Aires,8.6,68.1,0.0,4.5
2024-02-20,Buenos Aires,27.7,64.3,0.0,20.5
2024-12-17,Buenos Aires,25.4,"74,2",0.0,17.3
2024-06-15,Buenos Aires,300.0,N/A,0.0,21.5
26 de Jan de 2024, Bariloche,10.6 C,63.5,0.0,17.3
2024-10-04,Cordoba,12.2,54.9,0.0,15.1
2024-03-22,Buenos Aires,nan,59.4,3.2,26.6
2024-05-28,Cordoba,,57.3,0.0,13.6
2024-11-17,buenos aires,24.7,-,nan,13.4
2024-04-18,Bariloche,10.2,70.3,3.0,7.8
2024-12-04,Bariloche,14.3,"72,6",0.0,18.6
2024-11-17,Bariloche,14.9,74.7,0.0,15.1
2024-03-07,Buenos Aires,-,64.0,0.0,23.8
2024-11-30,Buenos  Aires,22.1,62.8,0.0,5.8
23/05/2024,Cordoba,10.5,"52,1",0.0,19.3
14/03/2024,Bariloche,11.7,63.2,0.0,19.0
2024-10-16,Buenos Aires,14.6,76.1,0.0,28.6
06 de Apr de 2024,Cordoba,22.8,48.2,0.0,20.0
2024-01-30,Cordoba,33.5,47.8,0.0,14.9
2024-11-25,San Carlos de Bariloche,16.8,57.8,0.0,17.1
10-10-2024, Buenos Aires,14.6,73.2,0.0,18.2
2024-02-21,Cordoba,24.9 C,"45,7",0.0,1.8
2024-05-15,Bariloche,2.6 C,73.6,1.6,9.2
2024-07-31,CÓRDOBA,5.5,61.8,0.0,0.1
2024-12-27,buenos aires,26.4,,5.6,17.5
17-09-2024,Cordoba,13.7,60.0,0.0,9.8
05-03-2024,Buenos Aires,22.3 C,54.5,0.0,16.7
2024-03-03,Bariloche,14.0,67.3,3.6,24.2
2024-02-24,Bariloche,15.3 C,64.8,12.4,13.5
21/09/2024,Buenos Aires,11.9,72.5,0.0,6.2
2024-09-06,CÓRDOBA,8.7,s/d,4.9,9.0
19 de Oct de 2024,Cordoba,18.7,47.7,-,9.7
10 de Sep de 2024,cordoba,9.4,59.0,0.0,18.6
